,Unnamed: 0,Name,Identity,Form,Alignment,Type,Size,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Equipment,Vehicle,Talents,Contacts,Weaknesses,Powers_Form,Spd,Att,Dam,Climbing,Escaping
362,362,Captain Britain,"Elizabeth ""Betsy"" Braddock",,,,,Am,In,Mn,Mn,Gd,Rm,Un,160,140,Ex,,"{'Telekinesis': 'Un, Betsy is able to perform the following power stunts with her telekinesis', '-Blastwave/Shockwave': 'Un ', '-Floating Disk': 'Able to carry up to 8-10 people ', '-Leaping': 'In ', '-Martial Striking': 'Am ', '-Kinetic Control': 'Un Paralysis/Momentum ', '-Force Field Generation': 'Un, can perform the following power stunts', '--Force Field with Micro-Environment': 'Am Containment/Entrapment ', '-Force Attack': 'In ', '-Psychic Weaponry': 'Un, Able to cut through up to Un material ', '-Flight': 'Sh-X airspeed ', 'Telepathy': 'Mn ability to affect and manipulate the minds of other sentient beings. Betsy can read minds and communicate mentally with others over long distances. When she telepathically communicates with another person over a distance, that person often perceives her presence as a butterfly-like image bearing large eyes on its wings. She is able to perform the following power stunts:', '-Psychic Knives': 'Being the summation of her psionic energy, they do Am Energy to a living target and the target is required to make a Psyche FEAT vs. Ex intensity when a hit is scored, vs. In intensity when a stun is scored, and vs. Mn intensity when a kill is scored. ', '-Psychic Detection': 'In, this means Betsy cannot be surprised in addition to the normal use of this power. ', '-Mental Probe': ""In, by anticipating what her opponent is going to do Betsy gets +2cs on her attacks, dodges or evasions. Every round she must make a power FEAT vs. the opponent's Psyche so people with a Psyche higher than Am are immune. "", '-Astral Projection': 'Mn ability to project her astral form from her body onto astral planes or the physical planes. In the astral plane, she can mentally create psionic objects and manipulate the aspects of her environment. Under the effects of the Crimson Dawn her astral form was normally undetectable.', '-Psionic Shadow': 'Mn ability to mask her presence from others. Her abilities can go undetected and are very difficult to track, even by very powerful telepaths such as Shadow King. She can extend these defenses to others around her as well.', '-Telepathic Illusions': 'Am ability to create illusions to make herself seem to be invisible, look like someone else, or make others experience events that are not truly happening.', '-Mind Control': 'Mn ability to control the minds of others.', '-Mental Paralysis': 'Am ability to induce temporary mental or physical paralysis', '-Mental Amnesia': 'Mn ability to erase any awareness of particular memories or cause total amnesia.', '-Telepathic Tracking': 'Mn ability to track other sentient beings by their unique psionic emanations (thought patterns contained in the psionic portion of the spectrum) especially if they pose a threat to her well-being in her immediate vicinity.', '-Psionic Blasts': 'Mn ', '-Psi-Screen': 'CL1000 ', 'Resist Power Manipulation, Reality Manipulation': 'CL1000 ', 'Body Resistance': 'Rm ', 'Regeneration': 'Ex'}","{'Costume': ""Captain Britain's costume has a force field closely over her skin, this gives him the following power stunts:"", '-Shield': 'Rm protection vs. Physical, Energy and Psionic attacks.', '-Force Attack': 'Rm ranged Blunt attack', 'Starlight Sword': 'Un material, In Edge, The Starlight Sword was a magical blade forged by Saturnyne from the walls of the Starlight Citadel.'}",{},"['All Martial Arts, Acrobatics, Tumbling, Oriental Weapons, Weapon Specialist: (Psychic Weapons), Multi-Lingual, Espionage/Detective, Crime, Escape Artist, Stealth, Performer: (Modeling, Singer)']","['X-Men, Brian Braddock']",[''],{},0,0,0,0,0
389,389,The Cat,Shen Kuei,,,,,Am,Rm,Ex,Rm,Ex,Ex,Ex,130,60,Gd,,{},{},{},"['All Martial Arts, Oriental Weapons, Detective/Espionage, Thrown Weapons, Marksmanship, Acrobatics, Tumbling, Guns, Business/Finance, Multi-Lingual: (English, Tibetian, Chinese, Japanese)']",[],[''],{},0,0,0,0,0
417,417,Chronok,,,,,,In,Ex,In,In,In,Rm,Am,140,120,In,,{},"{'Shield': 'CL3000 material, he can use it to block up to 90 damage from an attack, but he is still subject to Stuns and Slams. He can also throw it up to 3 areas for Rm damage and he can attack up to 3 people with a successful Agility FEAT (Mn) or 5 with a Yellow FEAT. By bouncing it of a number of hard surfaces, he can make the shield return to him the next round.', 'Other Weaponry': 'Chronok uses a variety of weapons and devices that have up to In abilities', 'Hover Pad': ""Personal vehicle while he's on the surface of a planet. It has the following stats:"", '-Body': 'Am ', '-Speed': 'In ', '-Control': 'Un ', '-Protection': 'None'}",{},"['Leadership, Marksmanship, All Martial Arts, History, Repair/Tinkering']",['None'],[''],{},0,0,0,0,0
420,420,Citizen V,John Watkins III,,,,,In,Rm,Ex,In,Gd,Ex,Gd,130,40,Ex,,{},"{'Sword': 'In material, Rm Edge or Ex blunt damage with the flat of the blade. ', 'Costume': 'Ex vs. Edged and Shooting attacks. ', '-Cape': 'His cape is made of the same materials, and has the added bonus of allowing him to glide or parachute to safety. ', '-Stealth Invisiblity': 'Ex invisibility ', 'Visor': 'In scanners for X-Ray, Lifeform, Energy and Range ', '-Gas Mask': 'Avoid gas attacks ', 'Communications': 'This allows him to communicate up to 100 miles away. This system is also able to provide for a satelite link up allowing greater range. Can contact the Vanguard or any member of the V-Battalion. ', 'Other Weapons': '', '-Pistol': 'Gd Shooting, 7 areas', '-Knife': 'In material, Ex Edge ', '-V-Stars': 'Ex Edge, 5 areas ', '-Bola': 'Rm entagglement ', '-Sleep Gas': 'Cover 1 area with In sleep gas. Victim must make Red End. FEAT vs. unconsciousness for 1-10 rounds. ', '-Magclamp': 'In material, Un adhesive to metal. ', '-Tracer': 'Ex material, 3 areas, Able to trace anyone around the world from Vanguard. Satelites allow this tracer to be found anywhere.'}","{'V-Wing': ""Citizen V's personal transportion"", '-Body': 'Rm ', '-Control': 'In ', '-Speed': 'Rm airspeed ', '-Protection': 'N/A'}","['Swordsmanship, All Martial Arts, Acrobatics, Tumbling, Detective/Espionage, Engineering']",['V-Battallion'],[''],{},0,0,0,0,0
517,517,Daredevil II,Daniel Rand,,,,,Am,Rm,Gd,Rm,Ex,Gd,In,120,70,Ty,,"{'Chi': 'F,A,S or E can be raised 1 rank for 10 rounds. Requires 1 round of meditation & psyche FEAT. to use. After its used up health temporary loss of 25 ', 'Iron Fist': 'Once a day, may be used. Must make a psyche FEAT to determine damage. ', '-Green': 'In ', '-Yellow': 'Am ', '-Red': 'Mn, If red FEAT is used, he will be knock-out for 1-10 rounds'}","{'Billy Club': 'In material, Ex Blunt. Has the following power stunts', '-Swing Line': 'Shoots a line that lets him swing at 3 areas/round. ', 'Costume': 'Gd protection vs. Physical attacks'}",{},"['Business/Fiance, Accounting, All Martial Arts, Ninja Trainning, Stealth']","['Luke Cage, Misty Knight']",[''],{},0,0,0,0,0
541,541,Death V,Logan,,,,,In,Rm,Rm,In,Gd,Am,In,140,100,Gd,,"{'Adamantium Skeleton': 'Unbreakable, Ex body armor vs. blunt attacks, Ty vs. edged. ', '-Claws': 'CL1000 material, Ex to Mn Edge ', 'Regeration': 'Am, 5 points/round ', 'Recovery': 'Un ', 'Resist Poisons': 'Un ', 'Animal Empathy': 'Am ', 'Enhanced Senses': 'Mn smell, In hearing ', 'Berserker': 'Ignore stuns and Un resistance to mind control. A yellow psyche FEAT. must be made to come out of it.'}","{'Body Armor': 'Rm protection vs. Physical and Energy, has the following power stunts:', '-Cloaking Device': 'In Invisibility', '-Teleporter': 'Am', 'Power-Sword': 'In material, In Edge, capable of firing Rm Energy Blasts', 'Wrist-Mounted Energy Blaster': '(x2) In Energy, 10 areas'}",{},"['Guns, Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Military, Detective/Espionage, Ninja skills, Multi-Lingual: (English, Japanese, Russian, French), Stealth']","['Apocalypse, Four Horsemen of Apocalypse']",[''],{},0,0,0,0,0
586,586,Dirty Wolff,,,,,,Rm,Rm,Mn,Un,Gd,In,In,235,90,Gd,,"{'Benzwezil Physiology': 'Dirty Wolff is the last known member of Benzwezil. His very body provides him with the following:', '-Energy Absorption': 'CL1000 when fully powered. The abilities below are otherwise -2cs', '-True Invulnerability': 'Un', '-Invulnerable to Heat and Cold': 'CL1000', '-Sealed Systems': 'Able to survive in the vacuum of space', '-Tracking': 'CL3000, manifest as a scent, tracking his victims across the universe', '-Hyper-Leaping': 'Un', '-Regeneration': 'Un', '-Hyper-Running': 'In', '-Weakness Detection': 'Un'}","{'Chain and Hook': 'CL3000 material, Dirty Wolff’s trustworthy hook an’ chain. The weapon he often carries with him on his right arm. Un Edge or used for Un Grappling', 'Space Hog': 'Custom Dirty Wolff’s Bike is customized. It boasts a miniaturized 17-liter powerplant with 3xTurbo and full Hands Off facility. Zero to 60 is instantaneous, and top speed is a cool several million miles per minute. It runs on Unleaded. It’s his preferred vehicle of transport and with it he has seen most parts of the galaxy and probably run over half of it. It’s easily recognized since it looks like death on a pair of rocket-engines. At the front of the bike, Dirty Wolff has placed an evil-looking skull with large fangs, probably something he once killed.', '-Control': 'Ex', '-Speed': 'CL1000', '-Body': 'Un', '-Protection': 'Ex', '-Flight': 'CL1000', '-Radar Sense': 'Un', 'Frag Grenades': 'From Gd to Un damage', 'Bolter Gun': 'Un Shooting, 80 areas'}",{},"['Weapons Master, Biology, Chemistry, Marksmanship, All Martial Arts, Wrestling, Leadership']",['Whoever hires him'],[''],{},0,0,0,0,0
649,649,Ebon Samurai,Kioshi Keishicho,,,,,Rm,Ex,Ex,In,Gd,Ex,Ex,110,50,Gd,,{},"{'Body Armor': 'Ex protection vs. Physical and Energy ', 'Katana': 'Un Edge, it can also cut through Un materials in a single round'}",{},"['All Martial Arts, Law Enforcement, Oriental Weapons, Swords, Thrown Weapons']",['Big Hero 6'],[''],{},0,0,0,0,0
651,651,Echo,Maya Lopez,,,,,In,In,Gd,Ex,Gd,Gd,Ex,110,40,Ex,,{},{},{},"['Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Ninja skills, Stealth, Dancing, Performer: (Piano), Boxing, Pilot']","['Daredevil/Matt Murdock, New Avengers']","['Echo is deaf and cannot hear', '', 'Talents: Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Ninja skills, Stealth, Dancing, Performer: (Piano), Boxing, Pilot', '', 'Contacts: Daredevil/Matt Murdock, New Avengers']",{},0,0,0,0,0
652,652,Echo,Maya Lopez,,,,,In,In,Gd,Un,Gd,Ex,Am,190,80,Ex,,"{'Photographic Reflexes': 'Echo can copy all talents, moves and fighting or agility based talents from people she has observed for more than 2 rounds. She must make a Mn power FEAT to do so. In combat, she can automatically block one attack by a studied character on a power FEAT, she can block 2 attack if she succeeds an In powers FEAT. In addition, studied characters are at -2CS against her. If a character drastically changes her fighting style into an erratic, chaotic style (fight at -3CS with no talent bonus) then Echo cannot use this power and is at -2CS', 'Phoenix Force': 'When used a flaming bird image is conjured which inflict Ty heat damage when the powers are used at max rank. Maya has yet to reach complete mastery, the Phoenix Powers are all at -1cs (except flight).', '-Absorption': 'CL1000, any form of energy', '-Energy Conversion': 'CL1000', '-Molecular Conversion': 'CL1000', '-Flight': 'Un in atmosphere. CL1000 in space', '-Force Field': 'CL1000 vs. physical and energy', '-Gateway': 'Instant teleportation to anywhere in the universe', '-Kinetic Bolt': 'up to CL1000', '-Regeneration': 'Un', '-Self-Sustenance': 'CL1000', '-Telekinesis': 'Un', '-Telepathy': 'Un', '-Weather Control': 'Un'}",{},{},"['Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Ninja skills, Stealth, Dancing, Performer: (Piano), Boxing, Pilot']",['The Avengers'],"['Echo is deaf and cannot hear', '', 'Talents: Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Ninja skills, Stealth, Dancing, Performer: (Piano), Boxing, Pilot', '', 'Contacts: The Avengers']",{},0,0,0,0,0
795,795,Gamora,Xen Whoberis,,,,,Am,Am,Am,In,Gd,In,Ex,190,70,Ty,,"{'-Ultimate Skill (Martial Arts)': 'Un', '-Martial Arts Supremacy': 'Un'}","{'Time Gem': 'Gamora has the Time Gem, and is capable of warping and manipulating the flow of time. As of this writing, she has yet to develop any power stunts with this Sh-Z rank; Gamora may soon wield its powers with In effects (equal to Psyche). She could duplicate the following powers with the time gem if she so chose', '-Duplication': 'By summoning an alternate future counterparts ', '-Paralyzation (Others)': 'Freeze time around foes ', '-Teleportation': 'Step outside of time for a few rounds and move to another location instantly by restoring time'}",{},"['All Martial Arts, Weapon Specialist: Dagger, Acrobatics, Tumbling, Stealth, Spacecraft Pilot, Astro-Navigation.']",['Infinity Watch'],"['Gamora incurs normal Karma loss from killing. If not, she suffers no loss from directly killing a victim, but loses double the listed Karma penalty for noble deaths, mysterious deaths, and self-destructions that she allows to occur. ', '', 'Talents: All Martial Arts, Weapon Specialist: Dagger, Acrobatics, Tumbling, Stealth, Spacecraft Pilot, Astro-Navigation. ', '', 'Contacts: Infinity Watch', '', '<center><img src=""https://www.angelfire.com/goth/spyderben/gamora.JPG"" align=center> Gamora</img>', '', '<center><img src=""https://imgur.com/zW2K7B9.jpg"" align=center> Gamora\'s Last Suit</img>']",{},0,0,0,0,0
853,853,Gorgon,Tomi Shishido,,,,,In,Rm,Rm,In,Rm,Rm,In,140,130,Rm,,"{'Transmutation': 'In ability to transform anyone that made direct eye contact with him into stone, similar to the Gorgon, Medusa, from ancient Greek Mythology.', 'Telepathy': 'In, the limits of which are unknown. However, he is able to mentally communicate with individuals. Gorgon used his telepathy to mentally “see” everything', 'Empathy': 'In ability to sense other people’s emotions psionically', 'Regenerative Healing Factor': 'In, Gorgon possess an accelerated healing factor that allows him to rapidly regenerate damaged or destroyed bodily tissues. The full'}","{'Godkiller Sword': 'CL1000 material, Rm Edge, can cut through Un materials and body armor, Gorgon carried a powerful blade called Godkiller that could inflict mortal wounds even to mythical beings and gods. ', 'Grasscutter': 'CL1000 material, Rm Edge, can cut through Un materials and body armor'}",{},"['Ninja, Stealth, Swordsman, Leadership, Guns, Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Multi-Lingual: (English, Japanese, Russian)']","['Great Captain of Krakoa, Swordbearers of Krakoa; (Formerly) Hydra, The Hand, Dawn of the White Light']",[''],{},0,0,0,0,0
