Name,Identity,Form,Alt,Alignment,Type,Size,armour_name,stated_ac,armor_bonus,ac,stated_hp,hp,expected_hp,hp_fudge,level,hd,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Powers_Rank,Powers_Adj,Powers_Adj_Rank,Equipment,Vehicle,Talents,Talents_Adj,Contacts,Contacts_Adj,Weaknesses,Weaknesses_Adj,Powers_Form,Spd,Att,Dam,Climbing,Escaping,martial_arts,mook,attack_parameters,CR,xp,regen,healing_spells,healing_dice,healing_bonus,sc_ability,log,proficiency,initiative_bonus,AB_F,AB_A,AB_S,AB_E,AB_R,AB_I,AB_P
Amphibion,Qnax,,,,,,,,,,,,,,,,Am,Rm,Mn,Mn,Ex,Gd,Ex,230,50,Gd,,"{'Water Breathing or Air Breathing': 'Amphibion is an amphibious reptilian that is able to survive on land and water. He also has gills for underwater breathing.', 'Body Armor': 'In protection vs. Physical, Rm protection vs. Energy', 'Swimming': 'Rm waterspeed', 'Resistance to Heat and Cold': 'Ex', 'Talons': 'In Edge'}","{'Water Breathing or Air Breathing': 'Am;', 'Body Armor': 'Rm;In;', 'Swimming': 'Rm;', 'Resistance to Heat and Cold': 'Ex;', 'Talons': 'In;'}","{'Water Breathing': 'Testing One Only', 'Body Armor': 'In protection vs. Physical, Rm protection vs. Energy', 'Hyper-Swimming': 'Testing One Only', 'Resistance to Heat and Cold': 'Ex', 'Edged': 'Testing One Only'}",{},"{'Sword': 'In material, Rm Edge', 'Spear': 'Ex material, Ex Edge or Blunt'}",{},"{'Martial Arts A': 1, 'Martial Arts A ': 1, 'Martial Arts C': 1, 'Alien Technology': 1, 'Pilot': 1, 'Sharp Weapons': 1}","{'Hand-to-Hand Combat': 1, 'Martial Arts A': 1, 'C': 1, 'Interstellar Technology': 1, 'Pilot': 1, 'Edged Weapons': 1}",{'Horror-Hunters': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Amphibius,,,,,,,,,,,,,,,,,Gd,Ex,Ty,Ex,Pr,Gd,Ty,56,20,Fe,,"{'Water-Breathing': 'Able to breathe water for up to an hour', 'Leaping': 'Am, has the following power stunts:', 'Leap-Kick': 'Rm damage', 'Bank Shot': 'Bounce from wall to wall, Mn Agility for dodging. By making a Yellow FEAT vs. Leaping rank, he can also use his Leap-Kick as well'}","{'Water-Breathing': '', 'Leaping': 'Am;', 'Leap-Kick': 'Rm;', 'Bank Shot': 'Mn;'}","{'Water Breathing': 'Testing One Only', 'Leaping': 'Am, has the following power stunts:', 'Blunt': 'Testing One Only', 'Dodging': 'Testing One Only'}",{},{},{},{'Swimming': 1},{'Swimming': 1},{'Savage Land Mutates': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Amun,Jon Kasiya,,,,,,,,,,,,,,,,Ex,Rm,Gd,Ex,Ty,Gd,Ex,80,36,Gd,,"{'Hyper-Running': 'Un, runs at 10 areas/round', 'Magic': 'Amun is an amateur spell-caster and has demonstrated the following spells:', 'Mystic Bolts': 'Rm Force or Energy, 2 areas', 'Targeting': 'Amun can cast a spell that enhances his ability to target an individual, improving his Agility to In for the purposes of hitting a target', 'Enhance Damage': 'Amun can enhance the speed in which he throws his throwing blades, increasing the damage to Rm'}","{'Hyper-Running': 'Un;', 'Magic': 'Am;', 'Mystic Bolts': 'Rm;', 'Targeting': 'In;Am;', 'Enhance Damage': 'Rm;Am;'}","{'Hyper-Running': 'Testing One Only', 'Magic': 'Testing One Only', 'Energy Blast:Eldritch': 'Testing One Only', 'Shooting:In': 'Testing One Only', 'Edged Missile': 'Testing One Only'}",{},"{'Swords': 'Rm material, Gd Edge', 'Throwing Blades': 'Gd Thrown Edge'}",{},"{'Mystic Backgroud': 1, 'Martial Arts A ': 1, 'Sharp Weapons': 1, 'Thrown Weapons': 1}","{'Occult Lore and Background': 1, 'Martial Arts A': 1, 'Edged Weapons': 1, 'Thrown Weapons': 1}",{'Sisterhood of the Wasp': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Anaconda,"Blanche ""Blondie"" Sitznski",,,,,,,,,,,,,,,,Gd,Gd,Rm,In,Ty,Gd,Gd,90,26,Ty,,"{'Constriction': ""Anaconda's legs and arms are capable of wrapping around an opponent and constricting. Anaconda receives a +1CS when making Grappling attacks, and inflicts In damage. Anyone attempting to Escape the Grapple receives a -2CS."", 'Elongation': 'Anaconda can extend her arms and legs up to one and a half times their normal length.', 'Gills': 'Anaconda is equipped with artificial gills that allow her to breathe freely both above and below water.', 'Body Armor': 'Ex protection vs. Physical, Gd protection vs. Energy'}","{'Constriction': 'In;', 'Elongation': '', 'Gills': '', 'Body Armor': 'Gd;Ex;'}","{'Grappling:1-DmgEx': 'Testing Multi', 'Escaping-2': 'Testing Multi', 'Elongation': 'Anaconda can extend her arms and legs up to one and a half times their normal length.', 'Water Breathing': 'Testing One Only', 'Body Armor': 'Ex protection vs. Physical, Gd protection vs. Energy'}",{},{},{},"{'Crime': 1, 'Martial Arts A': 1}","{'Crime': 1, 'Hand-to-Hand Combat': 1}",{'Serpent Society': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Ananastasia,"Ananastasia ""Anna"" Rinaldi",,,,,,,,,,,,,,,,Ex,Gd,Ty,Gd,Ty,Gd,Ty,46,22,Gd,,{},{},{},{},{},{},"{'Martial Arts B': 1, 'Guns': 1, 'Performer': 1, 'Tattoo Artist': 1}","{'Martial Arts B': 1, 'Guns': 1, 'Performer: (Dancer)': 1, 'Tattoo Artist': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Anarchist,Tike Alicar,,,,,,,,,,,,,,,,Gd,Ex,Gd,Ex,Ty,Ty,Ty,60,20,Ex,,"{'Acidic Sweat': 'Ability to secrete an acid-like sweat from the pores of his body. With enough quantities it becomes a form of energy that he can use for corrosive blasts.', 'Corrosive Blasts': 'He could metabolize this acid into bluish corrosive projectile beams and shoot them from his hands, vaporizing and breaking down everything in their path in seconds. He can project the blast as a destructive blast powerful enough to demolish a concrete wall or a small amount subtle enough to change the outcome of rolling dice by weighing it down. His corrosion ability operates at Ex rank with a maximum range of 6 areas.', 'Adhesive Generation': 'He can also secrete a sticky adhesive that could act as glue at Ex rank.', 'Acidic Punch': ""He was also able to form acidic 'brass knuckles' to augment his punching power. When using this ability, Anarchist causes an extra 20 points of Slugfest damage.""}","{'Acidic Sweat': '', 'Corrosive Blasts': 'Ex;', 'Adhesive Generation': 'Ex;', 'Acidic Punch': ''}","{'Energy Blast:Acid': 'Testing One Only', 'Energy Blast:Corrosive': 'Testing One Only', 'Grappling Area': 'Testing One Only', 'Energy:Acid': 'Testing One Only'}",{},"{'Visor': 'Gd material, corrects his vision', 'Near-Sighted': 'Anarchist needs prescription glasses to see correctly. Without his glasses, Tike is -1cs for all targeting actions', 'Obsessive Compulsive Disorder': 'Anarchist su&#64256;ers from obsessive compulsive disorder, which made him obsessed with being clean by washing his hands repeatedly. In times of stress, Anarchist must make a successful Psyche FEAT roll or be compelled to wash his hands. If washing his hands is not an option, he su&#64256;ers -1cs to Fighting, Agility, and Reason.'}",{},"{'Martial Arts B': 1, 'Performer': 1}","{'Martial Arts B': 1, 'Performer': 1}",{'X-Statix': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Ancient One,,,,,,,,,,,,,,,,,Fe,Gd,Fe,Gd,Ty,Mn,De,24,156/5081,Ex,,"{'Magic': 'The Ancient One was the Sorcerer Supreme before Doctor Strange. The Ancient One had access to most powers and spells. The following are those powers that were always available to him', 'Astral Projection': 'Un', 'Levitation': 'In', 'Mesmerism': 'Am power with Un range.', 'Shield (Individual)': 'Am protection vs. Magical, Ex protection vs. Physical', 'Telepathy': 'Un', 'Eldritch Beams/Bolts': 'In', 'Dimensional Aperture': 'Mn', 'Spell of Silence': 'Automatic; No FEAT roll needed.'}","{'Magic': '', 'Astral Projection': 'Un;', 'Levitation': 'In;', 'Mesmerism': 'Am;Un;', 'Shield (Individual)': 'Ex;Am;', 'Telepathy': 'Un;', 'Eldritch Beams/Bolts': 'In;', 'Dimensional Aperture': 'Mn;', 'Spell of Silence': ''}","{'Magic': 'The Ancient One was the Sorcerer Supreme before Doctor Strange. The Ancient One had access to most powers and spells. The following are those powers that were always available to him', 'Astral Projection': 'Testing One Only', 'Levitation': 'In', 'Mind Control': 'Testing One Only', 'Force Field:Magic': 'Testing Multi', 'Force Field:Physical': 'Testing Multi', 'Telepathy': 'Un', 'Energy Blast:Magic': 'Testing One Only', 'Dimensional Travel': 'Testing One Only', 'Magic:Silence': 'Testing One Only'}",{},{},{},"{'Martial Arts A ': 1, 'Trance': 1, 'Hypnosis': 1, 'Resist Domination': 1, 'Mystic Backgroud': 1}","{'Martial Arts A': 1, 'Trance': 1, 'Mesmerism': 1, 'Hypnosis': 1, 'Resist Domination': 1, 'Occult': 1}",{'Doctor Strange': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Andreas Von Strucker,,,,,,,,,,,,,,,,,Rm,Gd,Gd,Ex,Ex,Ex,Gd,70,50,Gd,,"{'Symbiotic Powers': 'Andreas shares his power with his twin sister, Andrea Strucker. They can only use their powers when they are touching one another. He has the following powers', 'Energy Blasts': 'Am Energy, 5 areas'}","{'Symbiotic Powers': '', 'Energy Blasts': 'Am;'}","{'Symbiote': 'Testing One Only', 'Energy Blasts': 'Am Energy, 5 areas'}",{},{},{},"{'Weapon Specialist': 1, 'Martial Arts B': 1, 'Acrobatics': 1, 'Tumbling': 1, 'Stealth': 1, 'Business/Finance': 1}","{'Swordsman': 1, 'Martial Arts B': 1, 'Acrobatics': 1, 'Tumbling': 1, 'Stealth': 1, 'Business/Finance': 1}","{'Andrea Von Strucker': 1, 'Hellfire Trading Company': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Andrea Strucker,,,,,,,,,,,,,,,,,Gd,Gd,Gd,Ex,Ex,Ex,Ex,50,60,In,,"{'Symbiotic Powers': 'Andrea shares her power with her twin brother, Andreas Strucker. They can only use their powers when they are touching one another. She has the following powers', 'Energy Blasts': 'Am Energy, 5 areas'}","{'Symbiotic Powers': '', 'Energy Blasts': 'Am;'}","{'Symbiotic Powers': 'Andrea shares her power with her twin brother, Andreas Strucker. They can only use their powers when they are touching one another. She has the following powers', 'Energy Blasts': 'Am Energy, 5 areas'}",{},{},{},{'Business/Finance': 1},{'Business/Finance': 1},"{'Fenris': 1, 'Baron Von Strucker': 1, 'M.O.D.O.K.': 1, 'AIM': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Scientist Supreme,Dr. Andrew Forson,,,,,,,,,,,,,,,,Ex,Gd,Ex,In,In,Ex,Ex,90/42,80,Rm,,{},{},{},{},"{'Universal Environment Suit': 'Forson wears a level-three universal environment suit that gives him the following abilities:', 'Body Armor': 'Ex protection vs. Physical and Energy', 'Alter Ego': 'Stats change as shown above', 'Sealed Systems': '6 hours air supply', 'Energy Blasts': 'In Energy or Force, 10 areas'}",{},"{'Leadership': 1, 'Biology': 1, 'Chemistry': 1, 'Weapon Design': 1, 'Physics': 1, 'Electronics': 1}","{'Leadership': 1, 'Biology': 1, 'Chemistry': 1, 'Weapons Design and Engineering': 1, 'Physics': 1, 'Electronics': 1}","{'A.I.M.': 1, 'A.I.M. High Council': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Andromeda,,,,,,,,,,,,,,,,,In,Rm,In,Rm,Ex,Rm,Gd,140,60,Gd,,"{'Atlantean Physiology': 'Andromeda is an Atlantean, whose very body gives her the following abilities:', 'Water Breathing': 'As a member of the race of Homo Mermanus, Andromeda can breathe underwater without penalty. However, without special aid she will die if in open air, ""drowning"" in ten minutes. To counteract this, Andromeda uses a serum that allows her people to survive up to 12 hours out of water, and in addition provides the skin color of a surface-dweller. Presumably she has a method of generating this serum in her ship.', 'Body Armor': 'Pr protection vs. Physical', 'Swimming': 'Andromeda can move 6 areas/round while swimming', 'Resistance to Cold': 'In', 'Water Freedom': ""Andromeda doesn't suffer penalties in underwater battles and receives +1cs to Fighting, Endurance and Strength."", 'Ultra Vision': 'Rm', 'Enhanced Hearing': 'In'}","{'Atlantean Physiology': '', 'Water Breathing': 'Pr;', 'Body Armor': 'Pr;', 'Swimming': '', 'Resistance to Cold': 'In;', 'Water Freedom': '', 'Ultra Vision': 'Rm;', 'Enhanced Hearing': 'In;'}","{'Alien': 'Testing One Only', 'Water Breathing': 'As a member of the race of Homo Mermanus, Andromeda can breathe underwater without penalty. However, without special aid she will die if in open air, ""drowning"" in ten minutes. To counteract this, Andromeda uses a serum that allows her people to survive up to 12 hours out of water, and in addition provides the skin color of a surface-dweller. Presumably she has a method of generating this serum in her ship.', 'Body Armor': 'Pr protection vs. Physical', 'Swimming': 'Andromeda can move 6 areas/round while swimming', 'Resist:Cold': 'Testing One Only', 'Water Freedom': ""Andromeda doesn't suffer penalties in underwater battles and receives +1cs to Fighting, Endurance and Strength."", 'Enhanced Senses': 'Testing One Only'}",{},{},{},"{'Martial Arts A ': 1, 'Sharp Weapons': 1}","{'Martial Arts A': 1, 'Edged Weapons': 1}","{'Defenders of the Deep': 1, 'Deep Six': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angel,Angel Salvadore,,,,,,,,,,,,,,,,Ty,Ex,Ty,Gd,Pr,Ty,Ty,42,16,Ty,,"{'Wings': 'Ex, has the following abilities:', 'Flight': 'Ex airspeed', 'Ultrasonic Attack': 'In Sonic', 'Acidic Vomit': 'Rm Corrosive, 2 areas'}","{'Wings': 'Ex;', 'Flight': 'Ex;', 'Ultrasonic Attack': 'In;', 'Acidic Vomit': 'Rm;'}","{'Extra Body Parts:Wings': 'Testing One Only', 'Flight': 'Ex airspeed', 'Force Blast:Sonic': 'Testing One Only', 'Energy Blast:Acid': 'Testing One Only'}",{},{},{},"{'Student': 1, 'Streetwise': 1}","{'Student': 1, 'Streetwise': 1}","{'Xavier Institute for Higher Learning': 1, 'The Beak': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angel,Warren Worthington III,,,,,,,,,,,,,,,,Ex,Rm,Gd,Rm,Gd,Ty,Gd,90,26,Rm,,"{'Winged Flight': 'Ex airspeed, Am Agility. Angel can reach Un airspeed with an Endurance FEAT.', 'Aerial Adaptation': 'Rm Body Armor against falling, Mn Eyesight, Angel can breathe normally at high altitutes.'}","{'Winged Flight': 'Ex;Am;Un;', 'Aerial Adaptation': 'Rm;Mn;'}","{'Flight': 'Testing Multi', 'A:Am': 'Testing Multi', 'Aerial Adaptation': 'Rm Body Armor against falling, Mn Eyesight, Angel can breathe normally at high altitutes.'}",{},{},{},"{'Business/Finance': 1, 'Martial Arts B': 1, 'Aerial Combat': 1}","{'Business/Finance': 1, 'Martial Arts B': 1, 'Aerial Combat (+2cs)': 1}","{'X-Men': 1, 'Warren Industries': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Archangel,Warren Worthington III,,,,,,,,,,,,,,,,Rm,Rm,Gd,In,Ex,Ex,Rm,110,70,Gd,,"{'Flight': 'Rm airspeed, when in flight he counts as having Am Agility, including for Gliding FEATs. He also can accomplish the following', 'Sprint': 'Warren can ""sprint"" to Un airspeeds, however must make a successful End. FEAT each round', 'Gliding': 'By spreading his wings and riding thermals Angel can travel at Gd airspeed and is considered ""resting"" enabling him to recover as if he were motionless', 'Aerial Adaption': 'Mn eyesight and Rm Body Armor to falling'}","{'Flight': 'Rm;Am;', 'Sprint': 'Un;', 'Gliding': 'Gd;', 'Aerial Adaption': 'Rm;Mn;'}","{'Flight': 'Testing One Only', 'Hyper-Flight': 'Testing Multi', 'Enhanced Senses': 'Testing Multi', 'Body Armour': 'Testing Multi'}",{},"{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides him with the following:', 'Body Armor': 'Ex protection vs. Physical and Energy', 'Insulated': 'Gd protection vs. Heat and Cold', 'Comlink': '250 mile range and a GPS tracking device built into it', 'Detection Scrambler': 'Am protection vs. Electronic Mutant Detection'}",{},"{'Bussiness/Finance': 1, 'Leadership': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Aerial Combat': 1, 'Pilot': 1, 'Resist Domination': 1}","{'Bussiness/Finance': 1, 'Leadership': 1, 'Martial Arts A': 1, 'B': 1, 'Aerial Combat (+2cs)': 1, 'Pilot': 1, 'Resist Domination': 1}",{'X-Men': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angela,Aldrif Odinsdottir,,,,,,,,,,,,,,,,Mn,Am,Am,Mn,Ex,Rm,Rm,250,80,In,,"{'Asgardian Physiology': 'Aldrif Odinsdottir was the first born of Odin and Freyja, and heir to the Asgardian throne. Her very body provides her with the following abilities:', 'Invulnerability': 'Un protection vs. Physical, Energy, Heat, Cold, Radiation, Toxins, Aging and Disease', 'Slowed Aging': 'Un immunity to the ravaging effects of time. Angela only physically ages one year for every 100 years. She will age, just very slowly.', 'Self-Sustenance': ""Angela doesn't need to breathe, she can survive in the vacuum of space"", 'Illusion Detection': '+1CS intuition', 'Tracking': 'Un ability to track her prey through scent', 'Flight': 'Un airspeed'}","{'Asgardian Physiology': '', 'Invulnerability': 'Un;', 'Slowed Aging': 'Un;', 'Self-Sustenance': '', 'Illusion Detection': '', 'Tracking': 'Un;', 'Flight': 'Un;'}","{'Asgardian Physiology': 'Aldrif Odinsdottir was the first born of Odin and Freyja, and heir to the Asgardian throne. Her very body provides her with the following abilities:', 'Invulnerability': 'Un protection vs. Physical, Energy, Heat, Cold, Radiation, Toxins, Aging and Disease', 'Slowed Aging': 'Un immunity to the ravaging effects of time. Angela only physically ages one year for every 100 years. She will age, just very slowly.', 'Self-Sustenance': ""Angela doesn't need to breathe, she can survive in the vacuum of space"", 'Illusion': 'Testing One Only', 'Tracking': 'Un ability to track her prey through scent', 'Flight': 'Un airspeed'}",{},"{'Xiphos the Sword of the Stars': 'CL1000 material, Am Edge', 'Ichors': 'Un material, Un Edge, Ichors is a liquid metal, double-edged scimitar that can take the form of any bladed weapon. It gives Angela the following', 'Split into two swords': 'Un material, Am Edge', 'Whip': 'Un material, Am Edge. 5 area range. It can be used to grab or grapple targets at Un ability.', 'Angelic Ribbons': 'Un material, In grappling or Edge', 'Heven Armor': 'The suit of armor worn by the Angels of Heven is made of Un materials and grants', 'Body Armor': 'Rm protection vs. Physical and Energy', 'Flight': 'Ex airspeed', 'Self-Sustenance': 'Through an enchantment, Aldrif can go without food, water, or oxygen with Un ability'}",{},"{'Weapon Specialist': 1, 'Sharp Weapons': 1, 'Marksman': 1, 'Thrown Weapons': 1, 'Blunt Weapons': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts D': 1, 'Martial Arts E': 1, 'Heven History and Lore': 1, 'History': 1, 'Asgard Lore': 1, 'Aerial Combat': 1}","{'Weapon Specialist: (Xiphos': 1, 'Blades of Ichor)': 1, 'Edged Weapons': 1, 'Marksmanship': 1, 'Thrown Weapons': 1, 'Blunt weapons': 1, 'Martial Arts A': 1, 'B': 1, 'D': 1, 'E': 1, 'Heven Lore': 1, 'History and Trivia': 1, 'Asgardian Lore': 1, 'Aerial Combat': 1}",{'Contacts:': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Dr. Angela Lipscombe,,,,,,,,,,,,,,,,,Pr,Ty,Pr,Gd,Ex,Gd,Gd,24,40,Gd,,{},{},{},{},{},{},"{'Neuropsychiatry': 1, 'Medicine': 1, 'First Aid': 1}","{'Neuropsychiatry': 1, 'Medicine': 1, 'First Aid': 1}","{'USAF': 1, 'Doctor Leonard Samson': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angel,Warren Worthington III,,,,,,,,,,,,,,,,Ex,Rm,Gd,Rm,Gd,Ty,Gd,90,26,Rm,,"{'Winged Flight': 'Ex airspeed, Am Agility. Angel can reach Un airspeed with an Endurance FEAT.', 'Aerial Adaptation': 'Rm Body Armor against falling, Mn Eyesight, Angel can breathe normally at high altitudes.'}","{'Winged Flight': 'Ex;Am;Un;', 'Aerial Adaptation': 'Rm;Mn;'}","{'Flight': 'Testing Multi', 'A:Am': 'Testing Multi', 'Body Armour': 'Testing Multi', 'Enhanced Senses': 'Testing Multi'}",{},{},{},"{'Business/Finance': 1, 'Martial Arts B': 1, 'Aerial Combat': 1}","{'Business/Finance': 1, 'Martial Arts B': 1, 'Aerial Combat (+2cs)': 1}",{'X-Men': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angela Yin,,,,,,,,,,,,,,,,,Ty,Ty,Ty,Gd,Gd,Gd,Ex,28,40,Ty,,{},{},{},{},{},{},{'Photography': 1},{'Photography': 1},{'Daily Bugle': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angel,Warren Worthington III,,,,,,,,,,,,,,,,Ex,Rm,Ex,Rm,Gd,Ty,Ex,100,36,Ty,,"{'Flight': 'Un airspeed, Warren flies by the “cosmic wings” granted to him by the power of the Black Vortex.', 'Aerial Adaptation': 'Rm Body Armor against falling, Mn Eyesight, Angel can breathe normally at high altitudes.', 'Black Vortex Empowerment': ""As result of being under the cosmic power of the corrupting Black Vortex, Warren gained a whole new list of abilities of a similar yet radicalized variation of his future selves’ Celestial tech powers, growing powerful enough to shatter the Kree home-world's defenses with ease. He gained the following abilities:"", 'Cosmic Wings': ""Having been altered by the vortex had infused Warren's wingspan with Celestial energies enabling him faster than light travel through space (CL3000). Unlike when flying with his original wings, Warren does not suffer fatigue from flying and can remain airborne indefinitely at any altitude. Angel can lift at least 200 lbs in flight, greater weights require a Strength FEAT. Angel's ability to maneuver in the air is"", 'Cosmic Energy': 'Angel can discharge enough cosmic energy from his wings in order to eviscerate planetary fleets. Treat this as an energy attack with a limit of CL1000. However, for each column shift above Un, Warren must make a separate successful Yellow Psyche FEAT or go berserk (see Limitations, below, and note the reduced effect of his armored form).', 'Celestial Tech-like Armor': 'His transformation enables the cladding of otherworldly materials onto himself enabling the better channeling of his new cosmic power. While armored, Warren need only make a Green Psyche FEAT when pushing the limits of his cosmic energy discharge attack, rather than Yellow. His armor provides Rm protection vs. Physical and Energy', 'Energy Swords': 'These new powers allows him to conjure a pair of energized blades with which he can apparently cleave through anything. The blades do In Edge against an enemy; they can slice through materials with strength up to Sh-Z.', 'Life Support': 'Self-sustenance at Sh-Z, allowing indefinite survival in deep space.'}","{'Flight': 'Un;', 'Aerial Adaptation': 'Rm;Mn;', 'Black Vortex Empowerment': '', 'Cosmic Wings': 'Un;CL3000;', 'Cosmic Energy': 'Un;CL1000;', 'Celestial Tech-like Armor': 'Rm;', 'Energy Swords': 'In;Sh-Z;', 'Life Support': 'Sh-Z;'}","{'Flight': 'Un airspeed, Warren flies by the “cosmic wings” granted to him by the power of the Black Vortex.', 'Body Armour': 'Testing Multi', 'Enhanced Senses': 'Testing Multi', 'Black Vortex Empowerment': ""As result of being under the cosmic power of the corrupting Black Vortex, Warren gained a whole new list of abilities of a similar yet radicalized variation of his future selves’ Celestial tech powers, growing powerful enough to shatter the Kree home-world's defenses with ease. He gained the following abilities:"", 'Cosmic Wings': ""Having been altered by the vortex had infused Warren's wingspan with Celestial energies enabling him faster than light travel through space (CL3000). Unlike when flying with his original wings, Warren does not suffer fatigue from flying and can remain airborne indefinitely at any altitude. Angel can lift at least 200 lbs in flight, greater weights require a Strength FEAT. Angel's ability to maneuver in the air is"", 'Energy Blast': 'Testing One Only', 'Alien': 'Testing One Only', 'Edged:Energy': 'Testing Multi', 'Edged': 'Testing Multi', 'Energy': 'Testing Multi', 'Life Support': 'Self-sustenance at Sh-Z, allowing indefinite survival in deep space.'}",{},{},{},"{'Business/Finance': 1, 'Martial Arts B': 1, 'Aerial Combat': 1}","{'Business/Finance': 1, 'Martial Arts B': 1, 'Aerial Combat': 1}",{'X-Men': 1},{},"['Mental Burn-Out: As powerful as the Black Vortex enhancement makes Angel, it affects his mind in the form of cumulative stress, which causes Warren to go berserk regularly after a period of time. If Angel has been using his cosmic powers for more than 4 rounds, he must make a Green Psyche FEAT or he will immediately attack any perceived threat.', '', 'Talents: Business/Finance, Martial Arts B, Aerial Combat', '', 'Contacts: X-Men']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Angel Dust,Christine,,,,,,,,,,,,,,,,Gd,Ty,Ty,Gd,Ty,Ty,Gd,32,22,Fe,,{},{},{},{},{},{},{'None': 1},{'None': 1},{'Morlocks': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Archangel,Warren Worthington III,,,,,,,,,,,,,,,,Rm,Rm,Gd,In,Ex,Ex,Rm,110,70,Gd,,"{'Flight': 'Rm airspeed, when in flight he counts as having Am Agility, including for Gliding FEATs. He also can accomplish the following', 'Sprint': 'Warren can ""sprint"" to Un airspeeds, however must make a successful End. FEAT each round', 'Gliding': 'By spreading his wings and riding thermals Angel can travel at Gd airspeed and is considered ""resting"" enabling him to recover as if he were motionless', 'Aerial Adaption': 'Mn eyesight and Rm Body Armor to falling'}","{'Flight': 'Rm;Am;', 'Sprint': 'Un;', 'Gliding': 'Gd;', 'Aerial Adaption': 'Rm;Mn;'}","{'Flight': 'Testing One Only', 'Hyper-Flight': 'Testing Multi', 'Enhanced Senses': 'Testing Multi', 'Body Armour': 'Testing Multi'}",{},"{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides him with the following:', 'Body Armor': 'Ex protection vs. Physical and Energy', 'Insulated': 'Gd protection vs. Heat and Cold', 'Comlink': '250 mile range and a GPS tracking device built into it', 'Detection Scrambler': 'Am protection vs. Electronic Mutant Detection'}",{},"{'Business/Finance': 1, 'Leadership': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Aerial Combat': 1, 'Pilot': 1, 'Resist Domination': 1}","{'Business/Finance': 1, 'Leadership': 1, 'Martial Arts A': 1, 'B': 1, 'Aerial Combat (+2cs)': 1, 'Pilot': 1, 'Resist Domination': 1}","{'X-Men': 1, 'Nation of Krakoa': 1, 'X-Corp': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
